,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,22.045737179842863,22.101209120316938,22.23417498848655,21.9508770162409,22.161393252286043,22.091361739418723,21.835959347811613,21.822331601923164,21.855872934514824,21.652315399863504
X1,22.14383428747004,22.058112664656207,22.32554600455544,21.581262848593973,22.10267838564786,21.670399405739524,22.039294156161223,21.687037207863547,21.809403246099297,21.74261439930309
X2,21.9861347025091,21.531258496371183,22.39720968766646,21.914069522510875,22.10941436073997,21.65214512564919,21.700824564153496,21.739986766468395,21.611518426374957,21.665496305985883
X3,22.309384259310637,23.071997902610086,22.55382390455766,22.381169059059836,21.864495970986106,21.321710846640848,21.52281362360174,21.601037979125977,21.623477935791016,21.488116871226918
X4,22.530573064630683,23.236613100225274,22.68502252752131,22.325804450295188,21.97500688379461,21.95414907282049,21.657493938099254,21.64234802939675,21.600318388505414,21.488585212013938
X5,21.44887924194336,23.404894828796387,23.158746112476695,21.63455564325506,21.776668375188653,21.564853581515226,21.480362805453215,21.45165287364613,21.421410734003242,21.46120366183194
X6,28.047475814819336,24.580538229508832,21.4010347886519,21.749285091053356,21.595738410949707,21.530943176963113,21.42089488289573,21.401818015358664,21.551800814541902,21.560525980862703
X7,32.85173866965554,29.1315373507413,29.87284738367254,21.622565963051535,21.5677226673473,21.69724889235063,21.408115647055887,21.605122046037152,21.35550949790261,21.565539966930043
X8,21.426857254721902,21.385170156305488,21.30462074279785,21.508731495250355,21.502726034684613,21.534691030328926,21.390835935419258,21.560463125055488,21.483482100746848,21.442735758694734
X9,21.548109314658426,21.646598209034313,21.418370853770863,21.499804410067473,21.755951621315695,21.47388570958918,21.54070403359153,21.502897002480246,21.596778436140582,21.57353548570113
