,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,5.424333022715359,5.444635058534263,5.329959305536221,5.410541076655656,5.413806227003972,5.3122141103999825,5.294182933175971,5.05839789470461,5.457848406307338,5.334210860724944
X1,5.279279558487835,5.149392613954442,5.3204893064957295,5.432221425661244,5.362753615886018,5.361370454598945,5.438443098970903,5.187644873166398,5.239025691382871,5.286432963373907
X2,5.482161127369515,5.337760295175941,5.191509995940807,5.289765617282186,5.59359250355954,5.213014746571795,5.449589688208241,5.557655388568785,5.42753380033958,5.347377537836773
X3,5.344153946463418,5.208300280767314,5.319355504025491,5.307265848624144,5.147356068590964,5.469416799878434,5.404405391393943,5.613361183412319,5.286431909441635,5.164443300074053
X4,5.383898132386005,5.534097548773861,5.147594025390883,5.285385071979496,5.272990116530211,5.173515959693891,5.391760116585051,5.426820122814489,5.38386512392514,5.374329057187961
X5,5.516148760541412,5.423129439798832,5.15400166982492,5.305524570901008,5.644284704187522,5.287291913742926,5.131121638968631,5.427026009822381,5.24735844342935,5.498602729698962
X6,7.01586983123542,6.209669285006724,5.374024208874172,5.586196480378141,5.559111221495568,5.45094720698694,5.361387348761851,5.330591613853534,5.271163703691784,5.4204651738313
X7,9.558384494936984,8.63321748976263,9.08947619954096,5.375794210888333,5.427418821485757,5.4681284299629915,5.382263147160542,5.367796999460553,5.479473037161741,5.231291423038719
X8,5.316180281787215,5.301983185707642,5.221133134936675,5.160517602453815,5.143177828017916,5.445118017350988,5.302042400527982,5.302893181248748,5.136465326775511,5.35337589966512
X9,5.408227202264899,5.432793716865736,5.315406234690787,5.1421492481248325,5.189892353284841,5.334045184765091,5.233837910383796,5.425751694152102,5.4129334039095305,5.226948297102539
