,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-3.751830664548007,-3.471236532384699,-3.2572429180145264,-2.4067831093614753,-2.2042661038312046,-1.9093028794635425,-1.2908686507831921,-0.5187852518125013,-0.05689923329786821,0.34409095346927643
X1,-4.083464665846392,-3.4672472693703393,-3.238023216074163,-0.21061444282531738,-2.230170390822671,-1.5496832674199885,-0.7433467209339142,0.3116298859769648,0.6816744994033467,1.198591018264944
X2,-4.212353121150624,0.01164366982199929,-2.980679512023926,-2.221589511091059,-1.469450137831948,-0.5231464830311862,0.46928988803516736,1.4480004635724155,2.288065932013772,2.3216814358126032
X3,-4.299588571895253,-4.2041990540244365,-3.5459421547976406,-2.885009028694846,-2.200049335306341,-0.2141539379954338,1.3338911641727795,2.6104619286277075,3.927584583109075,3.79453427141363
X4,-4.373738028786399,-3.763957131992687,-3.062153599478982,-2.3650791211561724,-1.4890154654329473,-2.364085555076599,-0.09041521562771364,4.450983719392256,6.227057456970215,6.752036528153853
X5,-0.17136773416264492,-4.361317244443026,-3.7697443745353003,-0.33014733547514136,-0.6236612742597406,-0.03992675786668604,4.591897747733376,6.2471278364008125,8.044904708862305,8.281461130489003
X6,-5.430472330613569,-4.954146558588201,-0.15209806100888687,-0.5596783648837697,0.456713390621272,-0.2835416319695386,5.930766647512263,8.004758964885365,10.007247578014027,-0.29551873965696857
X7,-5.97482273795388,-5.4707866148515185,-5.8795788938348945,-0.19327466596256604,1.571020630272952,2.853420712731101,4.356189749457619,-0.12443239715966312,7.643605882471258,7.002858172763478
X8,-0.20761181549592453,0.0006567585197362033,-0.14096899330615997,-0.8917223553765904,0.2559843063354492,1.5422688668424434,2.8019370053979484,3.4319528937339783,5.199607962911779,5.384223266081377
X9,-0.7130282128399069,-1.445047134702856,-1.5678875188935886,-1.5919629010287197,-0.8257108039476655,0.3125375062227249,1.4083808494562453,2.231890532103452,3.1864008686759253,3.1885012063113125
