,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9
Row 0,-5.4246415090078,-4.916268343342,-4.35140927038,-3.7237880782,-3.026431198,-2.2515902199999998,-1.3906557999999998,-0.43406199999999984,0.6288200000000002,1.8098
Row 1,-4.916268343342,-4.35140927038,-3.7237880782,0.0,-2.2515902199999998,-1.3906557999999998,-0.43406199999999984,0.6288200000000002,1.8098,3.122
Row 2,-5.4246415090078,0.0,-3.026431198,-2.2515902199999998,-1.3906557999999998,-0.43406199999999984,0.6288200000000002,1.8098,3.122,4.58
Row 3,-4.916268343342,-4.35140927038,-3.7237880782,-3.026431198,-2.2515902199999998,0.0,1.8098,3.122,4.58,6.2
Row 4,-4.35140927038,-3.7237880782,-3.026431198,-2.2515902199999998,-1.3906557999999998,-2.2515902199999998,0.0,4.58,6.2,8.0
Row 5,0.0,-4.35140927038,-3.7237880782,0.0,-0.43406199999999984,0.0,4.58,6.2,8.0,10.0
Row 6,-5.4246415090078,-4.916268343342,0.0,-0.43406199999999984,0.6288200000000002,0.0,6.2,8.0,10.0,0.0
Row 7,-5.88217735810702,-5.4246415090078,-5.88217735810702,0.0,1.8098,3.122,4.58,0.0,8.0,10.0
Row 8,0.0,0.0,0.0,-0.43406199999999984,0.6288200000000002,1.8098,3.122,4.58,6.2,8.0
Row 9,-3.7237880782,-3.026431198,-2.2515902199999998,-1.3906557999999998,-0.43406199999999984,0.6288200000000002,1.8098,3.122,4.58,6.2
