,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-5.220705809918317,-5.12503322688016,-5.290557709607211,-5.0913306908174,-4.558886506340721,-4.108568299900401,-2.5152570334347812,-2.6131684455004605,-2.0029136619784613,-2.1384764571081507
X1,-6.413037300109863,-6.663380362770774,-5.7865965149619365,-3.055222684686834,-3.3678516257892954,-2.8084880005229604,-1.6466942808844827,-0.8415928713300012,-1.1031633385203101,-1.2638601714914495
X2,-6.316166530955922,-3.2192324941808526,-4.7857794544913554,-3.4232045086947354,-2.8347719474272295,-1.8065002127127214,-0.8327173590660095,0.10675952651283958,1.5137918212197043,1.0862758701497859
X3,-6.361057671633634,-5.388917316089977,-4.980963230133057,-4.326419288461858,-3.784465182911266,-3.2425582029602746,-0.5676994215358387,1.3414781527085737,2.791329015385021,3.051417264071378
X4,-6.618154655803334,-6.016172018918124,-5.4035914594476875,-5.128079262646762,-5.213898181915283,-6.095334703272039,-3.1419564106247644,2.9370937130667945,4.195866584777832,5.272330305793068
X5,-3.0048147710886868,-6.5000856572931465,-6.034898497841575,-3.1519197767431084,-6.473350871693004,-2.7563286206939,0.034495806829495865,2.972320545803417,5.460563833063299,8.195038275285201
X6,-7.3530968319286,-6.940413865176114,-3.163049269806255,-5.776109443469481,-7.4751527526161885,-2.9867609685117547,-2.202575011686845,1.824685966426676,6.4705097025091,-3.1043279712850396
X7,-7.778015656904741,-7.492982040752064,-8.255574226379395,-3.1888570839708503,-5.875267744064331,-6.443876613270152,-5.531394535844976,-3.2637563076886265,0.3590503605929288,-0.7090274529023604
X8,-3.12966405803507,-2.972958345304836,-2.956199412996119,-4.744915647262877,-4.851873167536476,-4.61192284930836,-5.163725246082652,-3.824985311789946,-4.821856113997373,-4.175182066180489
X9,-4.25864854184064,-4.266750927675854,-3.435092107816176,-4.525852787223729,-4.922449372031472,-3.330108566717668,-4.142015056176619,-5.698765288699757,-5.285320994528857,-9.444242775440216
