,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,3.0443360889850144,2.3836291182275393,1.9744364949299906,2.167961960506191,2.231659669358324,2.411441824919176,2.51240215552815,2.7035864754061665,2.6648574863885526,2.884951497954525
X1,2.0352435707883436,1.6377892156194402,2.151502508990393,2.5806232389881347,2.223857635899411,2.3478788849313688,2.669696547996138,2.9384629179223647,2.98890186472505,3.5988205098352073
X2,1.943076351707414,2.164337889301916,2.0244300011363885,2.127022308700205,2.2914665203984077,2.593243750843487,2.9711586393115974,3.2078956213411587,3.624504315607843,3.8981626374511347
X3,1.589491982809283,1.4968358103550419,1.6622686455154934,1.8304572337866751,2.1030146068769757,2.4194191554611484,3.2197201402073374,3.644864710170207,4.076117229541011,4.270952263924115
X4,1.253526116885998,1.303850296708524,1.514332346778948,1.6917221932999111,1.9646823825926076,2.0318463940450697,2.4893914840320215,4.136006776087114,4.528050295124798,4.8950389048051814
X5,2.3670556195908157,1.1843082649243937,1.37965363551441,2.1871931668357116,2.341999125435452,2.226780434961559,4.813308964280928,5.7334035991256345,5.126627543648621,5.677290475772773
X6,1.0532050392797745,1.0717392718383407,2.391800323140285,4.546765117170776,1.633760813154105,2.314254714475033,5.6072342601819205,7.184753661515294,6.54211715804882,2.301685305972233
X7,1.0081896182123915,1.09260700359574,1.4350002915643854,2.3412878624983415,3.4398415971829785,2.879032180494267,3.1622393428064637,2.324121346924223,6.983946252929527,7.646443079423311
X8,2.4557227957203818,2.5749663121335926,2.553543843259657,4.3858786023475975,4.071940788313155,3.313705701105871,3.111471711775154,3.342302992759404,5.00742158861931,5.646129326391495
X9,5.50581010608138,5.232469002710743,4.554310711464155,4.829050752535952,3.4530600540588767,2.995529207374054,3.555472671524198,4.543767177630615,5.8296753426317744,5.133693739270261
