,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-6.6175665205175225,-6.614802208813754,-7.097018653696233,-6.902257442474365,-6.235101894898848,-6.070669477636164,-5.624256329102949,-5.645520221103322,-5.7847322984175245,-6.364202659238469
X1,-7.066194642673839,-7.007567470723933,-7.204922199249268,-5.753780917687849,-5.879028883847323,-5.326958472078497,-4.898809107867154,-4.25477334856987,-4.82625010880557,-6.147267200730064
X2,-8.144758051091975,-5.348153667016462,-6.0028745044361465,-5.455089504068548,-4.967645211653276,-4.479327722706578,-3.9062600135803223,-3.254653974012895,-3.0883113633502615,-5.406577847220681
X3,-7.071561336517334,-6.740205721421675,-6.195540211417458,-5.8039446527307685,-5.688110221516002,-5.563638058575717,-5.217806110327894,-2.664044726978649,-2.2556592496958645,-4.564669079401276
X4,-7.1152212836525655,-6.85198840227994,-6.503920338370583,-6.250774166800759,-5.995132923126221,-7.419961918484081,-5.270014004273848,-2.9661261547695505,-1.6638748049736023,-4.055924968285994
X5,-5.476024400104176,-7.103667259216309,-6.835911187258634,-5.354179046370766,-6.2798004367134785,-5.540859439156272,-5.431502255526456,-4.839000940322876,-1.4407305175607854,-1.975647752935236
X6,-7.587170470844615,-7.376759832555598,-5.51569699157368,-6.079269181598317,-5.770032817667181,-5.537114945324984,-4.982408025047996,-4.847700682553378,-0.8145260350270704,-5.664963592182506
X7,-7.858107393438166,-7.590865655378862,-8.001702958887273,-5.585158824920654,-5.632250569083474,-5.896548444574529,-5.472686182368886,-5.4877448732202705,-5.629090298305858,-5.374675035476685
X8,-5.483875155448914,-5.564719070087779,-5.527171926064924,-5.7357071529735215,-5.993798385966908,-5.566203832626343,-5.632337266748602,-5.647329395467585,-5.61196925423362,-6.004730506376787
X9,-5.499689947475087,-5.733790224248713,-5.790269244800914,-6.059240319512107,-5.994061144915494,-5.8712873675606465,-5.661866784095764,-5.685662432150408,-5.329394199631431,-6.299504800276323
