,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,3.3013318154346085,2.6833412339202765,3.431459712235697,3.349550621619451,3.29757039555485,3.173295327786472,4.224371056096589,4.045327277058246,3.9453498845682757,4.06166025252968
X1,2.7729633882082543,2.661981765538283,2.3662957913791494,2.9553232303824357,3.2478700042647217,3.67291424751709,4.172558191884776,4.693280288485435,4.461811214765529,3.8375602973008585
X2,3.9586468066796736,3.191652524529422,3.1396565677168677,3.5512672082966206,3.9753674994784642,4.494094893418812,4.942290707431367,5.541090869009397,5.804923537867727,4.173752507268749
X3,2.5063525801918862,2.455189514636118,2.8131745354017537,3.2134996603162724,3.458568654896624,2.965334267754292,5.708968032994153,6.033196911014109,6.786780019443307,4.914919912482432
X4,2.044001529571322,2.2515913813032773,2.5438070013755025,2.846040375514966,3.056201197710445,3.0946293000590264,3.0933806397006136,6.3896950277469555,7.733494660621189,6.612662675722194
X5,3.0284280563593717,2.0167903470492967,2.300994023800562,3.0474936028621666,3.117258115762478,2.93212180530439,3.0840848140878783,4.549302981972137,7.520311292540663,7.274613784735694
X6,1.6377170682439237,1.805541117734106,3.2226514551342826,3.1935677905177298,2.7691994564981814,3.085692623090403,3.9017261991124093,5.0448148873494665,8.582052394218136,2.9756000944356695
X7,1.4591171779804226,1.6303567816410744,1.4684302591422103,3.0442099714082724,2.9257991210812517,2.9893784975248914,3.190584382457515,3.1366175687996565,3.611918243231054,3.347838257322001
X8,2.806623280665341,2.8404552853058043,3.3282951280337154,2.9279146265241343,2.5662526087108324,2.8154893888147825,2.915851003996172,3.108329215858197,2.902783634687462,2.64007393708647
X9,3.2741058604295894,2.9454705305181084,2.81944921503623,3.669201298233745,3.181310728329169,2.7875913863284816,3.1852817186569706,2.86013793868068,3.3386848095453967,2.6109742126004103
